@relation Train_4

@attribute	Ax	numeric
@attribute	Ay	numeric
@attribute	Az	numeric
@attribute	Asvm	numeric
@attribute	Asma	numeric
@attribute	State	{ Unknown, Trans, Lie,  Sit, Stand, Walk, Active }


@data
320, -70, 800, 864.465, 1190, Active
-70, -300, 1210, 1248.6, 1385, Active
-30, -300, 1090, 1130.93, 1396.67, Active
60, -450, 960, 1061.93, 1415, Active
30, -120, 900, 908.46, 1342, Active
150, -210, 900, 936.269, 1328.33, Active
310, -230, 890, 970.103, 1342.86, Active
170, -320, 1060, 1120.22, 1368.75, Active
280, -220, 990, 1052.09, 1382.22, Active
490, -120, 710, 870.976, 1376, Active
380, -260, 790, 914.385, 1380.91, Active
390, -20, 1000, 1073.55, 1383.33, Active
330, -210, 990, 1064.47, 1394.62, Active
110, -20, 910, 916.842, 1369.29, Active
190, -380, 660, 784.92, 1360, Active
-50, -380, 850, 932.416, 1355, Active
220, -120, 710, 752.928, 1337.06, Active
-150, -620, 1050, 1228.58, 1363.89, Active
-310, -310, 1010, 1101.04, 1388.33, Active
10, -200, 770, 795.613, 1355, Active
-210, -730, 1000, 1255.79, 1383.89, Active
-190, -530, 760, 945.833, 1384.44, Active
30, -760, 810, 1111.13, 1415, Active
-20, -570, 860, 1031.94, 1425.56, Active
160, -470, 880, 1010.4, 1430, Active
140, -430, 770, 892.973, 1418.33, Active
210, -270, 880, 944.14, 1411.11, Active
260, -240, 850, 920.706, 1412.78, Active
10, -680, 860, 1096.4, 1419.44, Active
-30, -480, 740, 882.553, 1410.56, Active
-160, -530, 860, 1022.79, 1411.67, Active
290, -160, 620, 702.922, 1413.33, Active
360, -200, 1020, 1100, 1432.78, Active
40, -330, 1010, 1063.3, 1438.33, Active
490, -120, 710, 870.976, 1453.33, Active
380, -260, 790, 914.385, 1431.67, Active
390, -20, 1000, 1073.55, 1419.44, Active
330, -210, 990, 1064.47, 1450, Active
110, -20, 910, 916.842, 1400, Active
190, -380, 660, 784.92, 1386.11, Active
-50, -380, 850, 932.416, 1368.33, Active
220, -120, 710, 752.928, 1346.11, Active
-150, -620, 1050, 1228.58, 1363.33, Active
-310, -310, 1010, 1101.04, 1379.44, Active
10, -200, 770, 795.613, 1358.33, Active
-210, -730, 1000, 1255.79, 1391.11, Active
-190, -530, 760, 945.833, 1387.22, Active
30, -760, 810, 1111.13, 1406.67, Active
30, -490, 780, 921.629, 1392.78, Active
160, -90, 1040, 1056.08, 1405, Active
-130, -710, 1210, 1408.94, 1431.11, Active
230, -230, 810, 872.869, 1425, Active
50, -280, 950, 991.665, 1422.78, Active
-0, -70, 880, 882.78, 1396.11, Active
50, -170, 870, 887.863, 1378.33, Active
70, -130, 1010, 1020.74, 1360.56, Active
190, -70, 970, 990.909, 1371.11, Active
190, -90, 750, 778.909, 1360, Active
70, -280, 1390, 1419.65, 1385.56, Active
40, -200, 1000, 1020.59, 1396.11, Active
490, -120, 710, 870.976, 1368.33, Active
380, -260, 790, 914.385, 1357.22, Active
390, -20, 1000, 1073.55, 1381.11, Active
330, -210, 990, 1064.47, 1358.33, Active
110, -20, 910, 916.842, 1333.89, Active
190, -380, 660, 784.92, 1313.33, Active
-50, -380, 850, 932.416, 1312.22, Active
220, -120, 710, 752.928, 1298.89, Active
-150, -620, 1050, 1228.58, 1286.11, Active
-310, -310, 1010, 1101.04, 1306.11, Active
10, -200, 770, 795.613, 1289.44, Active
-60, -540, 880, 1034.21, 1318.89, Active
-210, -730, 1000, 1255.79, 1366.11, Active
